region,service_centre,hardship_type,quarter,amount
Waikato,Te Awamutu,Gas Assistance,Sep 2023,0
Waikato,Te Awamutu,Gas Assistance,Dec 2023,0
Waikato,Te Awamutu,Gas Assistance,Mar 2024,0
Waikato,Te Awamutu,Gas Assistance,Jun 2024,0
Waikato,Te Awamutu,Gas Assistance,Sep 2024,280
Waikato,Te Awamutu,Gas Assistance,Dec 2024,0
Waikato,Te Awamutu,Gas Assistance,Mar 2025,0
Waikato,Te Awamutu,Gas Assistance,Jun 2025,20
Waikato,Te Awamutu,Gas Assistance,Sep 2025,463
Waikato,Te Awamutu,Gas Assistance,Dec 2025,0
Waikato,Te Awamutu,Gas Assistance,Mar 2026,0
Waikato,Te Awamutu,Stranded Travel - Petrol,Mar 2023,1810
Waikato,Te Awamutu,Stranded Travel - Petrol,Jun 2023,1030
Waikato,Te Awamutu,Stranded Travel - Petrol,Sep 2023,860
Waikato,Te Awamutu,Stranded Travel - Petrol,Dec 2023,1395
Waikato,Te Awamutu,Stranded Travel - Petrol,Mar 2024,1190
Waikato,Te Awamutu,Stranded Travel - Petrol,Jun 2024,1485
Waikato,Te Awamutu,Stranded Travel - Petrol,Sep 2024,710
Waikato,Te Awamutu,Stranded Travel - Petrol,Dec 2024,870
Waikato,Te Awamutu,Stranded Travel - Petrol,Mar 2025,1210
Waikato,Te Awamutu,Stranded Travel - Petrol,Jun 2025,240
Waikato,Te Awamutu,Stranded Travel - Petrol,Sep 2025,40
Waikato,Te Awamutu,Stranded Travel - Petrol,Dec 2025,310
Waikato,Te Awamutu,Stranded Travel - Petrol,Mar 2026,790
Waikato,Te Awamutu,All hardship,Mar 2023,1517745.4
Waikato,Te Awamutu,All hardship,Jun 2023,1039962.11
Waikato,Te Awamutu,All hardship,Sep 2023,654032.27
Waikato,Te Awamutu,All hardship,Dec 2023,627314.37
Waikato,Te Awamutu,All hardship,Mar 2024,454315.3
Waikato,Te Awamutu,All hardship,Jun 2024,503338.76
Waikato,Te Awamutu,All hardship,Sep 2024,522726.49
Waikato,Te Awamutu,All hardship,Dec 2024,484643.59
Waikato,Te Awamutu,All hardship,Mar 2025,608305.35
Waikato,Te Awamutu,All hardship,Jun 2025,366008.62
Waikato,Te Awamutu,All hardship,Sep 2025,471941.75
Waikato,Te Awamutu,All hardship,Dec 2025,421495.53
Waikato,Te Awamutu,All hardship,Mar 2026,433468.15
Waikato,Thames,Electricity Assistance,Mar 2023,3378.81
Waikato,Thames,Electricity Assistance,Jun 2023,3705.41
Waikato,Thames,Electricity Assistance,Sep 2023,4057.65
Waikato,Thames,Electricity Assistance,Dec 2023,7195.89
Waikato,Thames,Electricity Assistance,Mar 2024,4014.46
Waikato,Thames,Electricity Assistance,Jun 2024,3119.14
Waikato,Thames,Electricity Assistance,Sep 2024,2935.51
Waikato,Thames,Electricity Assistance,Dec 2024,1685.1
Waikato,Thames,Electricity Assistance,Mar 2025,2074.22
Waikato,Thames,Electricity Assistance,Jun 2025,2661.69
Waikato,Thames,Electricity Assistance,Sep 2025,9681.46
Waikato,Thames,Electricity Assistance,Dec 2025,4876.21
Waikato,Thames,Electricity Assistance,Mar 2026,4631.12
Waikato,Thames,Emergency Housing,Mar 2023,7494
Waikato,Thames,Emergency Housing,Jun 2023,15423
Waikato,Thames,Emergency Housing,Sep 2023,15274
Waikato,Thames,Emergency Housing,Dec 2023,9432
Waikato,Thames,Emergency Housing,Mar 2024,21175
Waikato,Thames,Emergency Housing,Jun 2024,11298
Waikato,Thames,Emergency Housing,Sep 2024,10635
Waikato,Thames,Emergency Housing,Dec 2024,5128
Waikato,Thames,Emergency Housing,Mar 2025,0
Waikato,Thames,Emergency Housing,Jun 2025,2450
Waikato,Thames,Emergency Housing,Sep 2025,3998.26
Waikato,Thames,Emergency Housing,Dec 2025,2310
Waikato,Thames,Emergency Housing,Mar 2026,0
Waikato,Thames,Food,Mar 2023,29783.23
Waikato,Thames,Food,Jun 2023,20428.78
Waikato,Thames,Food,Sep 2023,21289.08
Waikato,Thames,Food,Dec 2023,15075.56
Waikato,Thames,Food,Mar 2024,14965.13
Waikato,Thames,Food,Jun 2024,7469
Waikato,Thames,Food,Sep 2024,7733.03
Waikato,Thames,Food,Dec 2024,7403.74
Waikato,Thames,Food,Mar 2025,7248.77
Waikato,Thames,Food,Jun 2025,6710.25
Waikato,Thames,Food,Sep 2025,9239
Waikato,Thames,Food,Dec 2025,8193
Waikato,Thames,Food,Mar 2026,6213.37
Waikato,Thames,Gas Assistance,Mar 2023,0
Waikato,Thames,Gas Assistance,Jun 2023,0
Waikato,Thames,Gas Assistance,Sep 2023,0
Waikato,Thames,Gas Assistance,Dec 2023,0
Waikato,Thames,Gas Assistance,Mar 2024,0
Waikato,Thames,Gas Assistance,Jun 2024,0
Waikato,Thames,Gas Assistance,Sep 2024,0
Waikato,Thames,Gas Assistance,Dec 2024,274.95
Waikato,Thames,Gas Assistance,Mar 2025,0
Waikato,Thames,Gas Assistance,Jun 2025,0
Waikato,Thames,Gas Assistance,Sep 2025,0
Waikato,Thames,Gas Assistance,Dec 2025,0
Waikato,Thames,Gas Assistance,Mar 2026,0
Waikato,Thames,Stranded Travel - Petrol,Mar 2023,195
Waikato,Thames,Stranded Travel - Petrol,Jun 2023,0
Waikato,Thames,Stranded Travel - Petrol,Sep 2023,180
Waikato,Thames,Stranded Travel - Petrol,Dec 2023,60
Waikato,Thames,Stranded Travel - Petrol,Mar 2024,215
Waikato,Thames,Stranded Travel - Petrol,Jun 2024,110
Waikato,Thames,Stranded Travel - Petrol,Sep 2024,140
Waikato,Thames,Stranded Travel - Petrol,Dec 2024,100
Waikato,Thames,Stranded Travel - Petrol,Mar 2025,0
Waikato,Thames,Stranded Travel - Petrol,Jun 2025,175
Waikato,Thames,Stranded Travel - Petrol,Sep 2025,120
Waikato,Thames,Stranded Travel - Petrol,Dec 2025,290
Waikato,Thames,Stranded Travel - Petrol,Mar 2026,210
Waikato,Thames,All hardship,Mar 2023,386631.88
Waikato,Thames,All hardship,Jun 2023,297474.01
Waikato,Thames,All hardship,Sep 2023,329243.96
Waikato,Thames,All hardship,Dec 2023,218833.09
Waikato,Thames,All hardship,Mar 2024,235714.59
Waikato,Thames,All hardship,Jun 2024,192104.4
Waikato,Thames,All hardship,Sep 2024,206725.78
Waikato,Thames,All hardship,Dec 2024,176422.11
Waikato,Thames,All hardship,Mar 2025,166858.99
Waikato,Thames,All hardship,Jun 2025,207068.86
Waikato,Thames,All hardship,Sep 2025,207010.37
Waikato,Thames,All hardship,Dec 2025,173826.8
Waikato,Thames,All hardship,Mar 2026,167813.08
Waikato,Waihi,Electricity Assistance,Mar 2023,8560.15
Waikato,Waihi,Electricity Assistance,Jun 2023,3790.96
Waikato,Waihi,Electricity Assistance,Sep 2023,3905.19
Waikato,Waihi,Electricity Assistance,Dec 2023,6658.46
Waikato,Waihi,Electricity Assistance,Mar 2024,6129.42
Waikato,Waihi,Electricity Assistance,Jun 2024,2519.64
Waikato,Waihi,Electricity Assistance,Sep 2024,2501.36
Waikato,Waihi,Electricity Assistance,Dec 2024,1094.02
Waikato,Waihi,Electricity Assistance,Mar 2025,2585.9
Waikato,Waihi,Electricity Assistance,Jun 2025,977.75
Waikato,Waihi,Electricity Assistance,Sep 2025,3776.71
Waikato,Waihi,Electricity Assistance,Dec 2025,1478.92
Waikato,Waihi,Electricity Assistance,Mar 2026,1422.79
Waikato,Waihi,Emergency Housing,Mar 2023,312669.8
Waikato,Waihi,Emergency Housing,Jun 2023,237446
Waikato,Waihi,Emergency Housing,Sep 2023,178359
Waikato,Waihi,Emergency Housing,Dec 2023,128122
Waikato,Waihi,Emergency Housing,Mar 2024,65560
Waikato,Waihi,Emergency Housing,Jun 2024,21678
Waikato,Waihi,Emergency Housing,Sep 2024,0
Waikato,Waihi,Emergency Housing,Dec 2024,3850
Waikato,Waihi,Emergency Housing,Mar 2025,0
Waikato,Waihi,Emergency Housing,Jun 2025,2450
Waikato,Waihi,Emergency Housing,Sep 2025,0
Waikato,Waihi,Emergency Housing,Dec 2025,0
Waikato,Waihi,Emergency Housing,Mar 2026,0
Waikato,Waihi,Food,Mar 2023,18645.61
Waikato,Waihi,Food,Jun 2023,13738.9
Waikato,Waihi,Food,Sep 2023,13645.82
Waikato,Waihi,Food,Dec 2023,12001.33
Waikato,Waihi,Food,Mar 2024,11185.05
Waikato,Waihi,Food,Jun 2024,7722
Waikato,Waihi,Food,Sep 2024,6583.75
Waikato,Waihi,Food,Dec 2024,8302.38
Waikato,Waihi,Food,Mar 2025,9566.76
Waikato,Waihi,Food,Jun 2025,7836.32
Waikato,Waihi,Food,Sep 2025,8237.29
Waikato,Waihi,Food,Dec 2025,6556.87
Waikato,Waihi,Food,Mar 2026,7033.38
Waikato,Waihi,Gas Assistance,Mar 2023,0
Waikato,Waihi,Gas Assistance,Jun 2023,20
Waikato,Waihi,Gas Assistance,Sep 2023,396.8
Waikato,Waihi,Gas Assistance,Dec 2023,0
Waikato,Waihi,Gas Assistance,Mar 2024,0
Waikato,Waihi,Gas Assistance,Jun 2024,0
Waikato,Waihi,Gas Assistance,Sep 2024,0
Waikato,Waihi,Gas Assistance,Dec 2024,0
Waikato,Waihi,Gas Assistance,Mar 2025,0
Waikato,Waihi,Gas Assistance,Jun 2025,0
Waikato,Waihi,Gas Assistance,Sep 2025,60
Waikato,Waihi,Gas Assistance,Dec 2025,0
Waikato,Waihi,Gas Assistance,Mar 2026,0
Waikato,Waihi,Stranded Travel - Petrol,Mar 2023,1020
Waikato,Waihi,Stranded Travel - Petrol,Jun 2023,520
Waikato,Waihi,Stranded Travel - Petrol,Sep 2023,195
Waikato,Waihi,Stranded Travel - Petrol,Dec 2023,130
Waikato,Waihi,Stranded Travel - Petrol,Mar 2024,140
Waikato,Waihi,Stranded Travel - Petrol,Jun 2024,220
Waikato,Waihi,Stranded Travel - Petrol,Sep 2024,60
Waikato,Waihi,Stranded Travel - Petrol,Dec 2024,200
Waikato,Waihi,Stranded Travel - Petrol,Mar 2025,240
Waikato,Waihi,Stranded Travel - Petrol,Jun 2025,130
Waikato,Waihi,Stranded Travel - Petrol,Sep 2025,125
Waikato,Waihi,Stranded Travel - Petrol,Dec 2025,50
Waikato,Waihi,Stranded Travel - Petrol,Mar 2026,155
Waikato,Waihi,All hardship,Mar 2023,719955.83
Waikato,Waihi,All hardship,Jun 2023,608713.87
Waikato,Waihi,All hardship,Sep 2023,460647.94
Waikato,Waihi,All hardship,Dec 2023,372613.12
Waikato,Waihi,All hardship,Mar 2024,248640.74
Waikato,Waihi,All hardship,Jun 2024,228229.13
Waikato,Waihi,All hardship,Sep 2024,151844.86
Waikato,Waihi,All hardship,Dec 2024,155186.77
Waikato,Waihi,All hardship,Mar 2025,203720.33
Waikato,Waihi,All hardship,Jun 2025,213944.71
Waikato,Waihi,All hardship,Sep 2025,209889.91
Waikato,Waihi,All hardship,Dec 2025,140061.81
Waikato,Waihi,All hardship,Mar 2026,147376.04
