region,service_centre,hardship_type,quarter,amount
Waikato,Cambridge,All hardship,Jun 2024,174797.59
Waikato,Cambridge,All hardship,Sep 2024,209589.01
Waikato,Cambridge,All hardship,Dec 2024,169105.03
Waikato,Cambridge,All hardship,Mar 2025,199788.98
Waikato,Cambridge,All hardship,Jun 2025,286589.89
Waikato,Cambridge,All hardship,Sep 2025,291565.06
Waikato,Cambridge,All hardship,Dec 2025,274483.8
Waikato,Cambridge,All hardship,Mar 2026,361870.23
Waikato,Dinsdale,Electricity Assistance,Mar 2023,24268.29
Waikato,Dinsdale,Electricity Assistance,Jun 2023,11687.03
Waikato,Dinsdale,Electricity Assistance,Sep 2023,41985.66
Waikato,Dinsdale,Electricity Assistance,Dec 2023,41054.65
Waikato,Dinsdale,Electricity Assistance,Mar 2024,15753.79
Waikato,Dinsdale,Electricity Assistance,Jun 2024,13035.39
Waikato,Dinsdale,Electricity Assistance,Sep 2024,38619.02
Waikato,Dinsdale,Electricity Assistance,Dec 2024,30652.71
Waikato,Dinsdale,Electricity Assistance,Mar 2025,17908.97
Waikato,Dinsdale,Electricity Assistance,Jun 2025,17381.69
Waikato,Dinsdale,Electricity Assistance,Sep 2025,21183.08
Waikato,Dinsdale,Electricity Assistance,Dec 2025,39195.66
Waikato,Dinsdale,Electricity Assistance,Mar 2026,30106.93
Waikato,Dinsdale,Emergency Housing,Mar 2023,809971
Waikato,Dinsdale,Emergency Housing,Jun 2023,1507951
Waikato,Dinsdale,Emergency Housing,Sep 2023,975830.78
Waikato,Dinsdale,Emergency Housing,Dec 2023,987346
Waikato,Dinsdale,Emergency Housing,Mar 2024,98372
Waikato,Dinsdale,Emergency Housing,Jun 2024,93538.99
Waikato,Dinsdale,Emergency Housing,Sep 2024,53959
Waikato,Dinsdale,Emergency Housing,Dec 2024,16968
Waikato,Dinsdale,Emergency Housing,Mar 2025,27497
Waikato,Dinsdale,Emergency Housing,Jun 2025,65211
Waikato,Dinsdale,Emergency Housing,Sep 2025,45115
Waikato,Dinsdale,Emergency Housing,Dec 2025,37905
Waikato,Dinsdale,Emergency Housing,Mar 2026,56926
Waikato,Dinsdale,Food,Mar 2023,103209.86
Waikato,Dinsdale,Food,Jun 2023,67419.64
Waikato,Dinsdale,Food,Sep 2023,83909.11
Waikato,Dinsdale,Food,Dec 2023,83471.6
Waikato,Dinsdale,Food,Mar 2024,70832.15
Waikato,Dinsdale,Food,Jun 2024,54517.05
Waikato,Dinsdale,Food,Sep 2024,52867.85
Waikato,Dinsdale,Food,Dec 2024,46689.32
Waikato,Dinsdale,Food,Mar 2025,52705.08
Waikato,Dinsdale,Food,Jun 2025,41454.91
Waikato,Dinsdale,Food,Sep 2025,45927.89
Waikato,Dinsdale,Food,Dec 2025,61855.67
Waikato,Dinsdale,Food,Mar 2026,72603.7
Waikato,Dinsdale,Gas Assistance,Mar 2023,845.07
Waikato,Dinsdale,Gas Assistance,Jun 2023,0
Waikato,Dinsdale,Gas Assistance,Sep 2023,307.01
Waikato,Dinsdale,Gas Assistance,Dec 2023,2072.36
Waikato,Dinsdale,Gas Assistance,Mar 2024,0
Waikato,Dinsdale,Gas Assistance,Jun 2024,213.67
Waikato,Dinsdale,Gas Assistance,Sep 2024,0
Waikato,Dinsdale,Gas Assistance,Dec 2024,592.61
Waikato,Dinsdale,Gas Assistance,Mar 2025,0
Waikato,Dinsdale,Gas Assistance,Jun 2025,0
Waikato,Dinsdale,Gas Assistance,Sep 2025,329.59
Waikato,Dinsdale,Gas Assistance,Dec 2025,535.11
Waikato,Dinsdale,Gas Assistance,Mar 2026,0
Waikato,Dinsdale,Stranded Travel - Petrol,Mar 2023,3302.16
Waikato,Dinsdale,Stranded Travel - Petrol,Jun 2023,2162.16
Waikato,Dinsdale,Stranded Travel - Petrol,Sep 2023,2530
Waikato,Dinsdale,Stranded Travel - Petrol,Dec 2023,1480
Waikato,Dinsdale,Stranded Travel - Petrol,Mar 2024,1352
Waikato,Dinsdale,Stranded Travel - Petrol,Jun 2024,1465
Waikato,Dinsdale,Stranded Travel - Petrol,Sep 2024,1597
Waikato,Dinsdale,Stranded Travel - Petrol,Dec 2024,610
Waikato,Dinsdale,Stranded Travel - Petrol,Mar 2025,2430
Waikato,Dinsdale,Stranded Travel - Petrol,Jun 2025,881.75
Waikato,Dinsdale,Stranded Travel - Petrol,Sep 2025,1350
Waikato,Dinsdale,Stranded Travel - Petrol,Dec 2025,1540
Waikato,Dinsdale,Stranded Travel - Petrol,Mar 2026,600
Waikato,Dinsdale,All hardship,Mar 2023,1831112.74
Waikato,Dinsdale,All hardship,Jun 2023,2272603.84
Waikato,Dinsdale,All hardship,Sep 2023,1877990.79
Waikato,Dinsdale,All hardship,Dec 2023,1764064.36
Waikato,Dinsdale,All hardship,Mar 2024,804971.24
Waikato,Dinsdale,All hardship,Jun 2024,811528.63
Waikato,Dinsdale,All hardship,Sep 2024,777299.37
Waikato,Dinsdale,All hardship,Dec 2024,630869.02
Waikato,Dinsdale,All hardship,Mar 2025,658080.27
Waikato,Dinsdale,All hardship,Jun 2025,769041.46
Waikato,Dinsdale,All hardship,Sep 2025,817843.67
Waikato,Dinsdale,All hardship,Dec 2025,784570.03
Waikato,Dinsdale,All hardship,Mar 2026,1102088.41
Waikato,Five Cross Roads,Electricity Assistance,Mar 2023,40030.82
Waikato,Five Cross Roads,Electricity Assistance,Jun 2023,24948.02
Waikato,Five Cross Roads,Electricity Assistance,Sep 2023,61743.88
Waikato,Five Cross Roads,Electricity Assistance,Dec 2023,68575.1
Waikato,Five Cross Roads,Electricity Assistance,Mar 2024,53829.08
Waikato,Five Cross Roads,Electricity Assistance,Jun 2024,35838.47
Waikato,Five Cross Roads,Electricity Assistance,Sep 2024,67866.71
Waikato,Five Cross Roads,Electricity Assistance,Dec 2024,62353.67
Waikato,Five Cross Roads,Electricity Assistance,Mar 2025,46185.26
Waikato,Five Cross Roads,Electricity Assistance,Jun 2025,24398.52
Waikato,Five Cross Roads,Electricity Assistance,Sep 2025,71847.24
Waikato,Five Cross Roads,Electricity Assistance,Dec 2025,78638.37
Waikato,Five Cross Roads,Electricity Assistance,Mar 2026,59052.76
Waikato,Five Cross Roads,Emergency Housing,Mar 2023,1486269
Waikato,Five Cross Roads,Emergency Housing,Jun 2023,1992693.04
Waikato,Five Cross Roads,Emergency Housing,Sep 2023,1452705.52
Waikato,Five Cross Roads,Emergency Housing,Dec 2023,1530485.04
Waikato,Five Cross Roads,Emergency Housing,Mar 2024,1620650
Waikato,Five Cross Roads,Emergency Housing,Jun 2024,833352
Waikato,Five Cross Roads,Emergency Housing,Sep 2024,79531
Waikato,Five Cross Roads,Emergency Housing,Dec 2024,37757
Waikato,Five Cross Roads,Emergency Housing,Mar 2025,41930
Waikato,Five Cross Roads,Emergency Housing,Jun 2025,51685
Waikato,Five Cross Roads,Emergency Housing,Sep 2025,67697
Waikato,Five Cross Roads,Emergency Housing,Dec 2025,83780
Waikato,Five Cross Roads,Emergency Housing,Mar 2026,42926
Waikato,Five Cross Roads,Food,Mar 2023,170545.14
Waikato,Five Cross Roads,Food,Jun 2023,145189.2
Waikato,Five Cross Roads,Food,Sep 2023,185343.45
Waikato,Five Cross Roads,Food,Dec 2023,195786.11
Waikato,Five Cross Roads,Food,Mar 2024,192092.08
Waikato,Five Cross Roads,Food,Jun 2024,148694.76
Waikato,Five Cross Roads,Food,Sep 2024,138730.42
Waikato,Five Cross Roads,Food,Dec 2024,125353.37
Waikato,Five Cross Roads,Food,Mar 2025,130926.61
Waikato,Five Cross Roads,Food,Jun 2025,123974.07
Waikato,Five Cross Roads,Food,Sep 2025,136481.69
Waikato,Five Cross Roads,Food,Dec 2025,131048.71
Waikato,Five Cross Roads,Food,Mar 2026,137351.33
Waikato,Five Cross Roads,Gas Assistance,Mar 2023,0
Waikato,Five Cross Roads,Gas Assistance,Jun 2023,1266.55
